roll no,name,standard,gender,race/ethnicity,parental level of education,lunch,test preparation course,math,english,geography,history,science,total,percentag,attended,total lectures,attendance,test marks,total marks,percentage,score-cat,study-cat,cluster,
236,Sam,7,male,group D,associate's degree,standard,none,80,75,83,48,77,357,71.4,42,50,84,67,100,67,0,1,2,
237,George,7,male,group D,bachelor's degree,free/reduced,none,63,66,55,31,67,294,58.8,34,50,68,58,100,58,0,0,4,
238,George,7,female,group D,some high school,standard,completed,64,60,87,59,74,331,66.2,36,50,72,62,100,62,0,0,4,
239,Ann,7,male,group B,some college,standard,none,54,52,49,97,51,305,61,48,50,96,53,100,53,0,1,2,
240,George,7,male,group C,associate's degree,standard,none,84,80,57,36,80,360,72,38,50,76,80,100,80,1,1,1,
241,Ann,7,male,group D,high school,free/reduced,completed,73,68,46,49,66,322,64.4,37,50,74,54,100,54,0,0,4,
242,Matt,7,female,group E,bachelor's degree,standard,none,80,83,97,35,83,364,72.8,42,50,84,32,100,32,0,1,2,
243,Sam,7,female,group D,high school,standard,none,56,52,87,100,55,318,63.6,31,50,62,53,100,53,0,0,4,
244,Matt,7,male,group E,some college,standard,none,59,51,47,69,43,265,53,30,50,60,50,100,50,0,0,4,
245,Ann,7,male,group D,some high school,standard,none,75,74,59,83,69,370,74,35,50,70,45,100,45,0,0,4,
246,Jennifer,7,male,group C,associate's degree,standard,none,85,76,94,33,71,336,67.2,49,50,98,47,100,47,0,1,2,
247,Ann,7,male,group E,associate's degree,standard,none,89,76,84,73,74,386,77.2,31,50,62,81,100,81,1,0,3,
248,George,7,female,group B,high school,standard,completed,58,70,37,41,68,305,61,43,50,86,45,100,45,0,1,2,
249,Jennifer,7,female,group B,high school,standard,none,65,64,80,74,62,327,65.4,42,50,84,48,100,48,0,1,2,
250,Jennifer,7,male,group C,high school,standard,none,68,60,71,52,53,286,57.2,32,50,64,44,100,44,0,0,4,
251,Ann,7,male,group A,some high school,standard,completed,47,49,39,39,49,233,46.6,44,50,88,67,100,67,0,1,2,
252,Ann,7,female,group D,some college,free/reduced,none,71,83,64,64,83,384,76.8,34,50,68,86,100,86,1,0,3,
253,Jennifer,7,female,group B,some high school,standard,completed,60,70,91,72,70,342,68.4,30,50,60,45,100,45,0,0,4,
254,Ann,7,male,group D,master's degree,standard,none,80,80,35,61,72,365,73,37,50,74,39,100,39,0,0,4,
255,Matt,7,male,group D,high school,standard,none,54,52,50,76,52,286,57.2,36,50,72,70,100,70,0,0,4,
256,Sam,7,female,group E,some college,standard,none,62,73,89,94,70,369,73.8,47,50,94,35,100,35,0,1,2,
257,Matt,7,female,group C,associate's degree,free/reduced,none,64,73,78,46,68,319,63.8,50,50,100,61,100,61,0,1,2,
258,George,7,male,group C,associate's degree,standard,completed,78,77,49,48,77,357,71.4,36,50,72,90,100,90,1,0,3,
259,Sam,7,female,group B,some college,standard,none,70,75,43,54,78,355,71,44,50,88,65,100,65,0,1,2,
260,Sam,7,female,group C,master's degree,free/reduced,completed,65,81,84,90,81,398,79.6,46,50,92,36,100,36,0,1,2,
261,Sam,7,female,group C,some high school,free/reduced,completed,64,79,91,97,77,394,78.8,37,50,74,90,100,90,1,0,3,
262,Sam,7,male,group C,some college,standard,completed,79,79,81,56,78,370,74,45,50,90,87,100,87,1,1,1,
263,Matt,7,female,group C,some high school,free/reduced,none,44,50,47,43,51,239,47.8,38,50,76,68,100,68,0,1,2,
264,Ann,7,female,group E,high school,standard,none,99,93,77,92,90,464,92.8,34,50,68,47,100,47,0,0,4,
265,Ann,7,male,group D,high school,standard,none,76,73,31,33,68,318,63.6,46,50,92,55,100,55,0,1,2,
266,George,7,male,group D,some high school,free/reduced,none,59,42,40,74,41,257,51.4,35,50,70,55,100,55,0,0,4,
267,Jennifer,7,female,group C,bachelor's degree,standard,none,63,75,52,55,81,355,71,35,50,70,63,100,63,0,0,4,
268,Sam,7,female,group D,high school,standard,none,69,72,70,68,77,363,72.6,44,50,88,55,100,55,0,1,2,
269,Ann,7,female,group D,associate's degree,standard,completed,88,92,62,81,95,451,90.2,45,50,90,68,100,68,0,1,2,
270,Sam,7,female,group E,some college,free/reduced,none,71,76,34,61,70,348,69.6,32,50,64,83,100,83,1,0,3,
271,Sam,7,male,group C,bachelor's degree,standard,none,69,63,94,47,61,301,60.2,49,50,98,72,100,72,1,1,1,
272,Jennifer,7,male,group C,some college,standard,none,58,49,34,45,42,236,47.2,31,50,62,80,100,80,1,0,3,
273,Ann,7,female,group D,associate's degree,free/reduced,none,47,53,45,60,58,276,55.2,30,50,60,63,100,63,0,0,4,
274,George,7,female,group D,some college,standard,none,65,70,90,91,71,368,73.6,46,50,92,46,100,46,0,1,2,
275,Matt,7,male,group B,some college,standard,completed,88,85,69,67,76,392,78.4,30,50,60,60,100,60,0,0,4,
276,Jennifer,7,male,group C,bachelor's degree,standard,none,83,78,52,52,73,359,71.8,41,50,82,75,100,75,1,1,1,
277,Jennifer,7,female,group C,some high school,standard,completed,85,92,78,42,93,405,81,32,50,64,78,100,78,1,0,3,
278,Ann,7,female,group E,high school,standard,completed,59,63,62,65,75,337,67.4,47,50,94,74,100,74,1,1,1,
279,George,7,female,group C,some high school,free/reduced,none,65,86,37,33,80,344,68.8,33,50,66,84,100,84,1,0,3,
280,George,7,male,group B,bachelor's degree,free/reduced,none,73,56,32,56,57,299,59.8,34,50,68,53,100,53,0,0,4,
281,Ann,7,male,group D,high school,standard,none,53,52,66,88,42,277,55.4,39,50,78,57,100,57,0,1,2,
282,Matt,7,male,group D,high school,standard,none,45,48,68,33,46,218,43.6,39,50,78,67,100,67,0,1,2,
283,Matt,7,female,group D,bachelor's degree,free/reduced,none,73,79,52,39,84,359,71.8,37,50,74,43,100,43,0,0,4,
284,Sam,7,female,group D,some college,free/reduced,completed,70,78,40,65,78,369,73.8,41,50,82,40,100,40,0,1,2,
285,Ann,7,female,group B,some high school,standard,none,37,46,35,96,46,271,54.2,47,50,94,71,100,71,1,1,1,
286,Jennifer,7,male,group B,associate's degree,standard,completed,81,82,82,79,82,406,81.2,47,50,94,78,100,78,1,1,1,
287,Matt,7,male,group E,associate's degree,standard,completed,97,82,96,45,88,400,80,43,50,86,79,100,79,1,1,1,
288,George,7,female,group B,some high school,standard,none,67,89,47,72,82,392,78.4,41,50,82,80,100,80,1,1,1,
289,Ann,7,male,group B,bachelor's degree,free/reduced,none,88,75,34,68,76,383,76.6,33,50,66,53,100,53,0,0,4,
290,Ann,7,male,group E,some high school,standard,completed,77,76,58,68,77,375,75,41,50,82,55,100,55,0,1,2,
291,Sam,7,male,group C,associate's degree,standard,none,76,70,38,90,68,372,74.4,34,50,68,87,100,87,1,0,3,
292,Matt,7,male,group D,some high school,standard,none,86,73,40,45,70,344,68.8,48,50,96,59,100,59,0,1,2,
293,Sam,7,male,group C,some high school,standard,completed,63,60,72,52,57,289,57.8,41,50,82,69,100,69,0,1,2,
294,Ann,7,female,group E,bachelor's degree,standard,none,65,73,49,42,75,330,66,32,50,64,70,100,70,0,0,4,
295,Sam,7,male,group D,high school,free/reduced,completed,78,77,92,44,80,359,71.8,44,50,88,88,100,88,1,1,1,
296,Jennifer,7,male,group B,associate's degree,free/reduced,none,67,62,59,63,60,312,62.4,34,50,68,37,100,37,0,0,4,
297,Ann,7,male,group A,some high school,standard,completed,46,41,35,31,43,204,40.8,41,50,82,42,100,42,0,1,2,
298,Ann,7,male,group E,associate's degree,standard,completed,71,74,94,45,68,326,65.2,34,50,68,32,100,32,0,0,4,
299,Matt,7,male,group C,high school,free/reduced,completed,40,46,67,41,50,227,45.4,31,50,62,82,100,82,1,0,3,
300,George,7,male,group D,associate's degree,free/reduced,none,90,87,59,57,75,384,76.8,36,50,72,77,100,77,1,0,3,
301,Ann,7,male,group A,some college,free/reduced,completed,81,78,83,67,81,388,77.6,33,50,66,81,100,81,1,0,3,
302,Sam,7,male,group D,some high school,free/reduced,none,56,54,50,85,52,299,59.8,39,50,78,92,100,92,1,1,1,
303,Jennifer,7,female,group C,associate's degree,standard,completed,67,84,77,46,81,359,71.8,36,50,72,68,100,68,0,0,4,
304,Ann,7,male,group B,associate's degree,standard,none,80,76,34,30,64,314,62.8,44,50,88,36,100,36,0,1,2,
305,Jennifer,7,female,group C,associate's degree,standard,completed,74,75,86,77,83,392,78.4,41,50,82,81,100,81,1,1,1,
306,Sam,7,male,group A,some college,standard,none,69,67,88,39,69,313,62.6,31,50,62,79,100,79,1,0,3,
307,Matt,7,male,group E,some college,standard,completed,99,87,97,79,81,427,85.4,42,50,84,38,100,38,0,1,2,
308,Ann,7,male,group C,some high school,standard,none,51,52,68,82,44,273,54.6,39,50,78,40,100,40,0,1,2,
309,Jennifer,7,female,group B,associate's degree,free/reduced,none,53,71,61,77,67,335,67,34,50,68,33,100,33,0,0,4,
310,Jennifer,7,female,group D,high school,free/reduced,none,49,57,65,52,52,262,52.4,48,50,96,37,100,37,0,1,2,
311,Sam,7,female,group B,associate's degree,standard,none,73,76,98,87,80,396,79.2,45,50,90,68,100,68,0,1,2,
312,Jennifer,7,male,group B,bachelor's degree,standard,none,66,60,30,56,57,296,59.2,35,50,70,60,100,60,0,0,4,
313,Matt,7,male,group D,bachelor's degree,standard,completed,67,61,69,91,68,355,71,31,50,62,72,100,72,1,0,3,
314,Matt,7,female,group C,associate's degree,free/reduced,completed,68,67,83,70,69,343,68.6,47,50,94,60,100,60,0,1,2,
315,George,7,female,group C,bachelor's degree,standard,completed,59,64,51,44,75,317,63.4,30,50,60,44,100,44,0,0,4,
316,Matt,7,male,group C,high school,standard,none,71,66,51,77,65,344,68.8,32,50,64,43,100,43,0,0,4,
317,George,7,female,group D,master's degree,standard,completed,77,82,67,39,91,380,76,41,50,82,89,100,89,1,1,1,
318,Ann,7,male,group C,associate's degree,standard,none,83,72,90,73,78,384,76.8,49,50,98,52,100,52,0,1,2,
319,George,7,male,group B,bachelor's degree,standard,none,63,71,45,57,69,329,65.8,49,50,98,61,100,61,0,1,2,
320,Matt,7,female,group D,associate's degree,free/reduced,none,56,65,61,96,63,343,68.6,50,50,100,47,100,47,0,1,2,
321,Jennifer,7,female,group C,high school,free/reduced,completed,67,79,68,100,84,414,82.8,48,50,96,58,100,58,0,1,2,
322,George,7,female,group E,high school,standard,none,75,86,43,78,79,397,79.4,48,50,96,94,100,94,1,1,1,
323,Sam,7,female,group C,some college,standard,none,71,81,60,38,80,350,70,45,50,90,49,100,49,0,1,2,
324,Ann,7,female,group C,some high school,free/reduced,none,43,53,93,57,53,259,51.8,43,50,86,69,100,69,0,1,2,
325,Ann,7,female,group C,high school,free/reduced,none,41,46,58,81,43,254,50.8,49,50,98,94,100,94,1,1,1,
326,George,7,female,group C,some college,standard,none,82,90,84,40,94,400,80,45,50,90,93,100,93,1,1,1,
327,Jennifer,7,male,group C,some college,standard,none,61,61,54,57,62,303,60.6,30,50,60,69,100,69,0,0,4,
328,Ann,7,male,group A,some college,free/reduced,none,28,23,49,58,19,147,29.4,47,50,94,69,100,69,0,1,2,
329,Sam,7,male,group C,associate's degree,standard,completed,82,75,43,82,77,393,78.6,45,50,90,95,100,95,1,1,1,
330,Ann,7,female,group B,some high school,standard,none,41,55,68,45,51,243,48.6,34,50,68,68,100,68,0,0,4,
331,Matt,7,male,group C,high school,standard,none,71,60,70,80,61,333,66.6,41,50,82,42,100,42,0,1,2,
332,Ann,7,male,group C,associate's degree,standard,none,47,37,66,58,35,212,42.4,37,50,74,56,100,56,0,0,4,
333,Jennifer,7,male,group E,associate's degree,standard,completed,62,56,61,50,53,274,54.8,35,50,70,73,100,73,1,0,3,
334,George,7,male,group B,associate's degree,standard,none,90,78,90,45,81,375,75,31,50,62,38,100,38,0,0,4,
335,Matt,7,female,group C,bachelor's degree,standard,none,83,93,35,57,95,423,84.6,47,50,94,88,100,88,1,1,1,
336,Ann,7,female,group B,some college,free/reduced,none,61,68,63,69,66,330,66,44,50,88,84,100,84,1,1,1,
337,Jennifer,7,male,group D,some high school,standard,completed,76,70,80,86,69,370,74,35,50,70,56,100,56,0,0,4,
338,Jennifer,7,male,group C,associate's degree,standard,none,49,51,78,90,43,276,55.2,45,50,90,91,100,91,1,1,1,
339,Matt,7,female,group B,some high school,free/reduced,none,24,38,93,32,27,148,29.6,46,50,92,95,100,95,1,1,1,
340,Ann,7,female,group D,some high school,free/reduced,completed,35,55,76,79,60,289,57.8,47,50,94,46,100,46,0,1,2,
341,Matt,7,male,group C,high school,free/reduced,none,58,61,65,37,52,260,52,37,50,74,63,100,63,0,0,4,
342,Jennifer,7,female,group C,high school,standard,none,61,73,59,40,63,300,60,33,50,66,52,100,52,0,0,4,
343,Jennifer,7,female,group B,high school,standard,completed,69,76,91,51,74,344,68.8,43,50,86,32,100,32,0,1,2,
344,Ann,7,male,group D,associate's degree,standard,completed,67,72,85,54,67,327,65.4,48,50,96,75,100,75,1,1,1,
345,Ann,7,male,group D,some college,standard,none,79,73,53,47,67,333,66.6,46,50,92,69,100,69,0,1,2,
346,Matt,7,female,group C,high school,standard,none,72,80,49,75,75,377,75.4,44,50,88,75,100,75,1,1,1,
347,Jennifer,7,male,group B,some college,standard,none,62,61,92,66,57,303,60.6,31,50,62,54,100,54,0,0,4,
348,Jennifer,7,female,group C,bachelor's degree,standard,completed,77,94,43,86,95,447,89.4,44,50,88,51,100,51,0,1,2,
349,Jennifer,7,male,group D,high school,free/reduced,none,75,74,43,92,66,373,74.6,48,50,96,37,100,37,0,1,2,
350,Jennifer,7,male,group E,associate's degree,standard,none,87,74,73,45,76,358,71.6,47,50,94,81,100,81,1,1,1,
351,Matt,7,female,group B,bachelor's degree,standard,none,52,65,70,68,69,323,64.6,41,50,82,94,100,94,1,1,1,
352,Ann,7,male,group E,some college,standard,none,66,57,47,84,52,311,62.2,44,50,88,60,100,60,0,1,2,
353,Ann,7,female,group C,some college,standard,completed,63,78,60,73,80,374,74.8,41,50,82,65,100,65,0,1,2,
354,Matt,7,female,group C,associate's degree,standard,none,46,58,30,70,57,288,57.6,44,50,88,95,100,95,1,1,1,
355,Ann,7,female,group C,some college,standard,none,59,71,78,58,70,328,65.6,40,50,80,77,100,77,1,1,1,
356,George,7,female,group B,bachelor's degree,standard,none,61,72,78,70,70,343,68.6,36,50,72,35,100,35,0,0,4,
357,George,7,male,group A,associate's degree,standard,none,63,61,56,48,61,294,58.8,46,50,92,45,100,45,0,1,2,
358,George,7,female,group C,some college,free/reduced,completed,42,66,96,46,69,292,58.4,33,50,66,47,100,47,0,0,4,
359,Matt,7,male,group D,some college,free/reduced,none,59,62,33,47,61,290,58,36,50,72,40,100,40,0,0,4,
360,Sam,7,female,group D,some college,standard,none,80,90,54,79,89,427,85.4,48,50,96,33,100,33,0,1,2,
361,Ann,7,female,group B,high school,standard,none,58,62,91,84,59,322,64.4,43,50,86,92,100,92,1,1,1,
362,Matt,7,male,group B,some high school,standard,completed,85,84,53,97,78,422,84.4,40,50,80,72,100,72,1,1,1,
363,Ann,7,female,group C,some college,standard,none,52,58,85,35,58,261,52.2,33,50,66,57,100,57,0,0,4,
364,Sam,7,female,group D,some high school,free/reduced,none,27,34,96,77,32,202,40.4,33,50,66,42,100,42,0,0,4,
365,Sam,7,male,group C,some college,standard,none,59,60,55,41,58,276,55.2,48,50,96,33,100,33,0,1,2,
366,Matt,7,male,group A,bachelor's degree,free/reduced,completed,49,58,67,41,60,268,53.6,48,50,96,44,100,44,0,1,2,
367,Sam,7,male,group C,high school,standard,completed,69,58,70,88,53,321,64.2,41,50,82,31,100,31,0,1,2,
368,Ann,7,male,group C,bachelor's degree,free/reduced,none,61,66,40,73,61,322,64.4,40,50,80,91,100,91,1,1,1,
369,Jennifer,7,female,group A,some high school,free/reduced,none,44,64,94,94,58,318,63.6,42,50,84,41,100,41,0,1,2,
370,Ann,7,female,group D,some high school,standard,none,73,84,54,33,85,360,72,48,50,96,90,100,90,1,1,1,
371,Jennifer,7,male,group E,some college,standard,none,84,77,44,60,71,363,72.6,34,50,68,46,100,46,0,0,4,
372,Ann,7,female,group C,some college,free/reduced,completed,45,73,95,38,70,296,59.2,35,50,70,93,100,93,1,0,3,
373,Ann,7,male,group D,some high school,standard,none,74,74,39,66,72,358,71.6,46,50,92,73,100,73,1,1,1,
374,Matt,7,female,group D,some college,standard,completed,82,97,71,95,96,466,93.2,40,50,80,80,100,80,1,1,1,
375,Sam,7,female,group D,bachelor's degree,standard,none,59,70,83,86,73,361,72.2,47,50,94,68,100,68,0,1,2,
376,Jennifer,7,male,group E,associate's degree,free/reduced,none,46,43,63,53,41,224,44.8,49,50,98,90,100,90,1,1,1,
377,Matt,7,female,group D,some high school,standard,none,80,90,60,91,82,425,85,40,50,80,70,100,70,0,1,2,
378,Jennifer,7,female,group D,master's degree,free/reduced,completed,85,95,52,52,100,432,86.4,38,50,76,91,100,91,1,1,1,
379,Matt,7,female,group A,some high school,standard,none,71,83,89,43,77,351,70.2,43,50,86,54,100,54,0,1,2,
380,Matt,7,male,group A,bachelor's degree,standard,none,66,64,49,65,62,319,63.8,45,50,90,45,100,45,0,1,2,
381,Matt,7,female,group B,associate's degree,standard,none,80,86,66,84,83,416,83.2,34,50,68,60,100,60,0,0,4,
382,Matt,7,male,group C,associate's degree,standard,completed,87,100,64,31,95,408,81.6,35,50,70,68,100,68,0,0,4,
383,Jennifer,7,male,group C,master's degree,free/reduced,none,79,81,30,35,71,337,67.4,32,50,64,63,100,63,0,0,4,
384,George,7,female,group E,some high school,free/reduced,none,38,49,71,76,45,253,50.6,45,50,90,67,100,67,0,1,2,
385,Ann,7,female,group A,some high school,free/reduced,none,38,43,41,43,43,210,42,43,50,86,92,100,92,1,1,1,
386,Sam,7,female,group E,some college,standard,none,67,76,64,78,75,371,74.2,47,50,94,73,100,73,1,1,1,
387,George,7,female,group E,bachelor's degree,standard,none,64,73,35,31,70,308,61.6,36,50,72,70,100,70,0,0,4,
388,Sam,7,female,group C,associate's degree,free/reduced,none,57,78,42,94,67,363,72.6,38,50,76,74,100,74,1,1,1,
389,Jennifer,7,female,group D,high school,standard,none,62,64,65,83,64,337,67.4,46,50,92,90,100,90,1,1,1,
390,Sam,7,male,group D,master's degree,standard,none,73,70,32,98,75,391,78.2,36,50,72,42,100,42,0,0,4,
391,Sam,7,male,group E,some high school,free/reduced,completed,73,67,50,48,59,306,61.2,45,50,90,67,100,67,0,1,2,
392,Jennifer,7,female,group D,some college,standard,none,77,68,42,94,77,393,78.6,39,50,78,53,100,53,0,1,2,
393,Jennifer,7,male,group E,some college,standard,none,76,67,48,33,67,310,62,35,50,70,69,100,69,0,0,4,
394,Sam,7,male,group C,associate's degree,standard,completed,57,54,53,92,56,315,63,48,50,96,69,100,69,0,1,2,
395,Sam,7,female,group C,some high school,standard,completed,65,74,41,53,77,346,69.2,34,50,68,30,100,30,0,0,4,
396,Ann,7,male,group A,high school,free/reduced,none,48,45,98,34,41,209,41.8,48,50,96,48,100,48,0,1,2,
397,Matt,7,female,group B,high school,free/reduced,none,50,67,84,48,63,291,58.2,48,50,96,58,100,58,0,1,2,
398,Matt,7,female,group C,associate's degree,standard,none,85,89,77,92,95,456,91.2,41,50,82,61,100,61,0,1,2,
399,George,7,male,group B,some high school,standard,none,74,63,98,98,57,349,69.8,32,50,64,45,100,45,0,0,4,
400,Matt,7,male,group D,some high school,standard,none,60,59,58,49,54,276,55.2,49,50,98,49,100,49,0,1,2,
401,Jennifer,7,female,group C,some high school,standard,completed,59,54,56,75,67,322,64.4,41,50,82,52,100,52,0,1,2,
402,Matt,8,male,group A,some college,standard,none,53,43,87,53,43,235,47,37,50,74,61,100,61,0,0,4,
403,Matt,8,female,group A,some college,free/reduced,none,49,65,39,30,55,254,50.8,40,50,80,48,100,48,0,1,2,
404,Sam,8,female,group D,high school,standard,completed,88,99,41,44,100,431,86.2,50,50,100,47,100,47,0,1,2,
405,Ann,8,female,group C,high school,standard,none,54,59,47,70,62,307,61.4,48,50,96,66,100,66,0,1,2,
406,George,8,female,group C,some high school,standard,none,63,73,80,100,68,372,74.4,34,50,68,33,100,33,0,0,4,
407,Ann,8,male,group B,associate's degree,standard,completed,65,65,83,87,63,343,68.6,50,50,100,69,100,69,0,1,2,
408,Sam,8,female,group B,associate's degree,standard,none,82,80,34,43,77,359,71.8,40,50,80,47,100,47,0,1,2,
409,Ann,8,female,group D,high school,free/reduced,completed,52,57,69,83,56,304,60.8,31,50,62,56,100,56,0,0,4,
410,Sam,8,male,group D,associate's degree,standard,completed,87,84,74,82,85,423,84.6,49,50,98,32,100,32,0,1,2,
411,George,8,female,group D,master's degree,standard,completed,70,71,83,61,74,350,70,31,50,62,61,100,61,0,0,4,
412,Ann,8,male,group E,some college,standard,completed,84,83,70,88,78,411,82.2,50,50,100,75,100,75,1,1,1,
413,George,8,male,group D,associate's degree,standard,none,71,66,75,35,60,292,58.4,33,50,66,85,100,85,1,0,3,
414,George,8,male,group B,some high school,standard,completed,63,67,53,73,67,337,67.4,40,50,80,44,100,44,0,1,2,
415,Sam,8,female,group C,bachelor's degree,free/reduced,completed,51,72,72,70,79,351,70.2,32,50,64,60,100,60,0,0,4,
416,Matt,8,male,group E,high school,standard,none,84,73,36,63,69,358,71.6,34,50,68,92,100,92,1,0,3,
417,Sam,8,male,group C,bachelor's degree,standard,completed,71,74,93,100,68,381,76.2,33,50,66,92,100,92,1,0,3,
418,Ann,8,male,group C,associate's degree,standard,none,74,73,35,80,67,361,72.2,41,50,82,85,100,85,1,1,1,
419,George,8,male,group D,some college,standard,none,68,59,68,61,62,312,62.4,36,50,72,74,100,74,1,0,3,
420,Sam,8,male,group E,high school,free/reduced,completed,57,56,94,79,54,300,60,49,50,98,80,100,80,1,1,1,
421,Ann,8,female,group C,associate's degree,free/reduced,completed,82,93,87,77,93,438,87.6,35,50,70,93,100,93,1,0,3,
422,Sam,8,female,group D,high school,standard,completed,57,58,100,35,64,278,55.6,35,50,70,94,100,94,1,0,3,
423,Sam,8,female,group D,master's degree,free/reduced,completed,47,58,38,64,67,303,60.6,30,50,60,55,100,55,0,0,4,
424,George,8,female,group A,some high school,standard,completed,59,85,48,59,80,363,72.6,44,50,88,35,100,35,0,1,2,
425,Sam,8,male,group B,some college,free/reduced,none,41,39,57,69,34,217,43.4,35,50,70,41,100,41,0,0,4,
426,Jennifer,8,female,group C,some college,free/reduced,none,62,67,68,64,62,317,63.4,34,50,68,78,100,78,1,0,3,
427,George,8,male,group C,bachelor's degree,standard,none,86,83,86,63,86,404,80.8,40,50,80,41,100,41,0,1,2,
428,Sam,8,male,group C,some high school,free/reduced,none,69,71,96,67,65,337,67.4,32,50,64,72,100,72,1,0,3,
429,Sam,8,male,group A,some high school,free/reduced,none,65,59,60,90,53,320,64,41,50,82,34,100,34,0,1,2,
430,Jennifer,8,male,group C,some high school,free/reduced,none,68,63,46,87,54,326,65.2,49,50,98,49,100,49,0,1,2,
431,Sam,8,male,group C,associate's degree,free/reduced,none,64,66,86,48,59,296,59.2,43,50,86,45,100,45,0,1,2,
432,George,8,female,group C,high school,standard,none,61,72,67,97,70,370,74,34,50,68,30,100,30,0,0,4,
433,Jennifer,8,male,group C,high school,standard,none,61,56,33,35,55,262,52.4,37,50,74,68,100,68,0,0,4,
434,George,8,female,group A,some high school,free/reduced,none,47,59,50,68,50,274,54.8,42,50,84,91,100,91,1,1,1,
435,Jennifer,8,male,group C,some high school,standard,none,73,66,85,57,66,328,65.6,39,50,78,45,100,45,0,1,2,
436,Sam,8,male,group C,some college,free/reduced,completed,50,48,81,89,53,293,58.6,43,50,86,69,100,69,0,1,2,
437,George,8,male,group D,associate's degree,standard,none,75,68,65,78,64,349,69.8,49,50,98,49,100,49,0,1,2,
438,Jennifer,8,male,group D,associate's degree,free/reduced,none,75,66,100,47,73,334,66.8,48,50,96,66,100,66,0,1,2,
439,Matt,8,male,group C,high school,standard,none,70,56,62,63,51,291,58.2,37,50,74,48,100,48,0,0,4,
440,Sam,8,male,group D,some high school,standard,completed,89,88,87,89,82,430,86,40,50,80,59,100,59,0,1,2,
441,Jennifer,8,female,group C,some college,standard,completed,67,81,71,52,79,358,71.6,43,50,86,31,100,31,0,1,2,
442,Ann,8,female,group D,high school,standard,none,78,81,92,65,80,384,76.8,42,50,84,70,100,70,0,1,2,
443,Matt,8,female,group A,some high school,free/reduced,none,59,73,30,33,69,303,60.6,41,50,82,76,100,76,1,1,1,
444,Ann,8,female,group B,associate's degree,standard,none,73,83,58,55,76,363,72.6,45,50,90,81,100,81,1,1,1,
445,Jennifer,8,male,group A,some high school,free/reduced,none,79,82,95,73,73,380,76,46,50,92,64,100,64,0,1,2,
446,Ann,8,female,group C,some high school,standard,completed,67,74,38,81,77,376,75.2,39,50,78,65,100,65,0,1,2,
447,Ann,8,male,group D,some college,free/reduced,none,69,66,73,30,60,285,57,34,50,68,66,100,66,0,0,4,
448,Jennifer,8,male,group C,high school,standard,completed,86,81,83,74,80,401,80.2,46,50,92,95,100,95,1,1,1,
449,Ann,8,male,group B,high school,standard,none,47,46,100,30,42,207,41.4,44,50,88,73,100,73,1,1,1,
450,Sam,8,male,group B,associate's degree,standard,none,81,73,99,39,72,337,67.4,50,50,100,90,100,90,1,1,1,
451,Jennifer,8,female,group C,some college,free/reduced,completed,64,85,72,82,85,401,80.2,48,50,96,44,100,44,0,1,2,
452,Sam,8,female,group E,some college,standard,none,100,92,74,79,97,465,93,38,50,76,52,100,52,0,1,2,
453,Sam,8,female,group C,associate's degree,free/reduced,none,65,77,52,98,74,388,77.6,38,50,76,88,100,88,1,1,1,
454,George,8,male,group C,some college,free/reduced,none,65,58,73,53,49,274,54.8,43,50,86,75,100,75,1,1,1,
455,Matt,8,female,group C,associate's degree,free/reduced,none,53,61,36,61,62,299,59.8,46,50,92,91,100,91,1,1,1,
456,Sam,8,male,group C,bachelor's degree,free/reduced,none,37,56,57,87,47,274,54.8,48,50,96,65,100,65,0,1,2,
457,Jennifer,8,female,group D,bachelor's degree,standard,none,79,89,56,85,89,431,86.2,40,50,80,54,100,54,0,1,2,
458,George,8,male,group D,associate's degree,free/reduced,none,53,54,92,62,48,265,53,33,50,66,63,100,63,0,0,4,
459,George,8,female,group E,bachelor's degree,standard,none,100,100,31,66,100,466,93.2,34,50,68,88,100,88,1,0,3,
460,Matt,8,male,group B,high school,standard,completed,72,65,100,60,68,333,66.6,45,50,90,58,100,58,0,1,2,
461,Matt,8,male,group C,bachelor's degree,free/reduced,none,53,58,79,55,55,276,55.2,39,50,78,89,100,89,1,1,1,
462,Ann,8,male,group B,some college,free/reduced,none,54,54,73,96,45,294,58.8,43,50,86,64,100,64,0,1,2,
463,Jennifer,8,female,group E,some college,standard,none,71,70,36,81,76,374,74.8,43,50,86,77,100,77,1,1,1,
464,George,8,female,group C,some college,free/reduced,none,77,90,55,62,91,411,82.2,32,50,64,89,100,89,1,0,3,
465,Sam,8,male,group A,bachelor's degree,standard,completed,75,58,91,99,62,356,71.2,32,50,64,92,100,92,1,0,3,
466,Jennifer,8,female,group C,some college,standard,none,84,87,75,52,91,405,81,37,50,74,53,100,53,0,0,4,
467,Sam,8,female,group D,associate's degree,free/reduced,none,26,31,68,46,38,179,35.8,35,50,70,63,100,63,0,0,4,
468,George,8,male,group A,high school,free/reduced,completed,72,67,65,92,65,361,72.2,44,50,88,76,100,76,1,1,1,
469,Jennifer,8,female,group A,high school,free/reduced,completed,77,88,44,77,85,412,82.4,30,50,60,45,100,45,0,0,4,
470,Matt,8,male,group C,some college,standard,none,91,74,82,41,76,358,71.6,31,50,62,62,100,62,0,0,4,
471,Matt,8,female,group C,associate's degree,standard,completed,83,85,63,41,90,389,77.8,40,50,80,86,100,86,1,1,1,
472,George,8,female,group C,high school,standard,none,63,69,46,37,74,317,63.4,40,50,80,72,100,72,1,1,1,
